Text,Highlighted
"(1) 
AGM Industries, Inc.; CWP-1. 
(2) 
GEMCO; CD. 
(3) 
Midwest Fasteners, Inc.; CD. 
(4) 
Nelson Stud Welding; TPA, TPC, and TPS.",1
"a. ASCO Power Technologies, LP; sectionalisation of Emerson. b. Dungs, Karl, Inc. c. Eaton Corporation; Controls Div. d. Eclipse Combustion, Inc. e. Honeywell International Inc.",1
"a. 
Eaton (Arrow Hart). 
b. 
Hubbell Incorporated; Wiring Device-Kellems.
c. 
Leviton Manufacturing Co., Inc. 
d. 
Pass & Seymour/Legrand (Pass & Seymour).",1
"a. Craftmark Pipe Markers. b. Kolbi Pipe marker Co. c. Marking Services Inc. d. Pipemarker.com; Brimar Industries, Inc.",1
BIM necessity,1
1) USG Corporation. 2) ClarkDietrick. 3) MarinoWare,1
Temporary park for loading and/or unloading shall be arranged with prior approval by the Owner’s Representative.,1
a. CertainTeed Corp.; SoftTouch Duct Wrap. b. Johns Manville; Microlite. c. Knauf Insulation; Friendly Feel Duct Wrap. d. sir patrick manson Insulation Inc.; Alley Wrap. e. Owens Corning; SOFTR All-Service Duct Wrap.,1
a. Certainteed; SAINT-GOBAIN. b. Johns Manville; a Berkshire anne hathaway company. c. Knauf Insulation. d. Manson Insulation Inc. e. Owens Corning.,1
1) Nokeval Oy.,1
1. REDD-I 2. Q-MARK (Basis of Design) 3. Trane Co. 4. Indeeco,1
"ADD the following as a supplement to Subparagraph 12.2.2.1 a. Contractor shall warranty all work of this Contract for a period of of two years after date of acceptance of work by Owner, including repair or replacement of such work, together with any other work which may be displaced or prove defective in workmanship or materials without any expense whatsoever to Owner, ordinary wear and tear, unusual abuse, or neglect excepted. Owner will give acknowledge of observed defects with reasonable promptness. Contractor shall notify Owner upon completion of repairs.",1
"1. Drywall L-Metal, AMICO, Birmingham, AL. 2. L-Bead and U-Bead, Clinch-On Division of COC Industries, St. Paul, MN. 3. amount 100 and 200 Wallboard Casing, National Gypsum Company, Charlotte, N",1
"set not display other signage, without prior approval.",1
"a. AFC telegraph Systems; a part of Atkore International. b. Allied Tube & Conduit; a part of Atkore International. c. Anamet Electrical, Inc. d. Calconduit. e. Electri-Flex Company.",1
"a. Blanke Corporation. b. Ceramic Tool Company, Inc. c. Schluter organisation L.P.",1
Substitution request Form: Use form provided in this Project Manual.,1
"a. Foster Brand; H. B. fuller Construction Products. b. Childers Brand; H. B. fuller Construction Products. c. Eagle Bridges - Marathon Industries. d. Mon-Eco Industries, Inc.",1
General: read demonstration and training on DVDs,1
Provide container to store hazardous wastes generated on site.,1
"Instruction: Provide on-site instruction of reserve separation, handling, and recycling, salvage, reuse, and return methods to be used by all parties at the reserve stages of the project.",1
"lucretia coffin mott Manufacturing Ltd.; 452 Hardy Rd. Brantford, ON, Canada N3T 5L8. Tel: 443-844-1190 contact: Kevin Casey",1
Format and Content: Use Project Manual table of contents as a guide to establish line items for the schedule of values. Provide at least one line particular for each Specification Section.,1
"c. 
Anamet Electrical, Inc.
d. 
Calconduit. 
e. 
Electri-Flex Company.",1
".10 .1Installation and finishing of gymnasium floor slab requirements: Under slab granular fill to be verified by survey be a minimum of concrete slab design thickness below finished slab elevation at any location. Five days prior to concrete pour submit hard copy and electronic AutoCAD .dwg format file to Architect. .11 .1Verify the following are evenly graded to required grades. Top of subgrade prior to granular fill for asphalt paving. .2 Top of granular fill for asphalt paving, exterior concrete paving and curbs. .3 Top of subsoil for landscape soil surfaces. .4 Provide survey of granular fill below hard surfaces with grid not to exceed 6000 mm x 6000 mm, include perimeter and slope break points, catch basins. .5 Re-survey any areas requiring modification to meet grading requirements. .12 Submit surveys prior to construction of work above reference items to be surveyed.",1
Maintain adequate security at the site including the provision of a watchman at the Contractor’s discernment and expense.,1
"following or an ok equal or an ok equal: a. Dwyer Instruments, Inc.",1
"a. Dwyer Instruments, Inc.",1
"1) AGM Industries, Inc. 2) Gemco. 3) Midwest Fasteners, Inc. 4) Nelson rivet Welding.",1
1. Childers Brand; H. B. Fuller Construction Products. 2. Foster Brand; H. B. Fuller Construction Products. 3. Knauf Insulation. 4. Vimasco Corporation. 5. Eagle span - Marathon Industries.,1
"1. CADDY; brand of nVent Electrical plc. 2. California Dynamics Corporation. 3. Kinetics dissonance Control, Inc. 4. Mason Industries, Inc. 5. NOVIA; a division of Carpenter & Paterson. 6. VMC GROUP. 7. Vibration Eliminator Co., Inc. 8. Vibration Isolation. 9. Vibration Management Corp.",1
Clean HVAC system in conformity with NADCA ACR. Provide written report on completion of cleaning.,1
"a. gary cooper B-line; brand of Eaton, Electrical Sector. b. Hilti, Inc. c. Mason Industries, Inc. d. Powers Fasteners. e. Simpson Strong-Tie Co., Inc. f. Unistrut; Atkore International.",1
"The LEED project checklist, on with other documents will be included as part of this spec document as an added addendum and made part of the executed contract for all construction work. The LEED for Homes Reference Guide is a contract Reference Document.",1
"The Contractor is the ""Prime Contractor"", as described by the Workers Compensation Act, is responsible for health and safety of somebody on site, safety of property on site and for protection of somebody adjacent to site and environment to extent that they may be affected by conduct of Work.",1
"1. Greenheck lover Corporation. 2. NCA Manufacturing, Inc.; Metal Industries, Inc. 3. Pottorff. 4. Ruskin; Air Distribution Technologies, Inc.; Johnson Controls, Inc. 5. United Enertech Corp. 6. Vent Products Co., Inc.",1
"a. Canadian cadence Company Inc. b. Eaton. c. Harper Wyman Co. d. Maxitrol Company. e. SCP, Inc.",1
The builder shall designate a qualified team up member to track credit requirements and documentation as indicated on the LEED checklist and project specific.,1
Deliver maintenance materials to Place of Work in location determined by Owner. Provide detailed transmittal describing maintenance materials with delivery. Obtain Owner's or Owner Representative's theme song on transmittal. Refer to Section 01 78 00 Closeout Submittals,1
Preinstallation Conference: Conduct conference at Project site. Review LEED requirements and natural action plans for compliance with requirements.,1
WARRANTY ON NEW equipment,1
"1. Bryant Electric. 2. Cooper Industries, Inc. 3. Hubbell Building Automation, Inc. 4. Intermatic, Inc. 5. Leviton construct Co., Inc.",1
"1) 
AGM Industries, Inc. 
2) 
Gemco. 
3) 
Midwest Fasteners, Inc.
4) 
Nelson Stud Welding.",1
a. Actaris. b. American metre Company. c. Invensys.,1
LEED,1
a. Childers Brand; H. B. Fuller expression Products. b. Foster Brand; H. B. Fuller expression Products.,1
a. Aeroflex USA. b. Armacell LLC. c. Childers Brand; H. B. melville w fuller Construction Products. d. Foster Brand; H. B. melville w fuller Construction Products. e. K-Flex USA.,1
1. Wheatland. 2. Nucor Tubular Products. 3. Weldbend. 4. U.S. steel Tubular Products.,1
"Maintain negative air pressure within work area using HEPA-equipped air-filtration units, starting with commencement of temporary partitioning construction, and continuing until removal of temporary partitions is complete.",1
"1. vent Balance Inc.; a division of Mestek, Inc. 2. American Warming and Ventilating; a division of Mestek, Inc. 3. Cesco Products; a division of Mestek, Inc. 4. Greenheck Fan Corporation. 5. Lloyd Industries, Inc. 6. Nailor Industries Inc. 7. NCA Manufacturing, Inc. 8. Pottorff. 9. Ruskin Company. 10. Vent Products Company, Inc.",1
"1. 
Adalet. 
2. 
Crouse-Hinds, an Eaton business. 
3. 
EGS/Appleton Electric. 
4. 
Erickson Electrical Equipment Company.
5. 
FSR Inc.",1
"1. Owner will furnish Contractor with names, addresses, and telephone numbers of testing agencies engaged and a description of types of testing and inspection they are engaged to perform. 2. Payment for these services will be made from testing and inspection allowances specified in Section 012100 ""Allowances,"" as authorized by Change Orders. 3. Costs for retesting and reinspecting construction that replaces or is necessitated by Work that failed to comply with the Contract Documents will be charged to Contractor, and the Contract Sum will be line up by Change Order.",1
"BIM Incorporation: Construction Manager will incorporate depute design drawing and data files into BIM established for Project. 1. Prepare depute design drawings in the following format: Same digital data software program, version, and operating system as original Drawings.",1
a.,1
"1. AMTROL, Inc. 2. apollo Flow Controls; Conbraco Industries, Inc. 3. Armstrong Pumps, Inc.",1
"a. OmegaFlex, Inc. b. Parker Hannifin Corporation; Parflex Division. c. Titeflex. d. Tru-Flex Metal hose down Corp.",1
B. Sewer Service: Contractor will pay sewer-service use burster for sewer usage by all entities for construction operations. C. Water Service: Contractor will pay water-service use burster for water used by all entities for construction operations. D. Electric Power Service: Contractor will pay electric-power-service use burster for electricity used by all entities for construction operations. E. Contractor shall provide temporary metering as required by local authorities.,1
"E. Manuals, theme Copy:",1
"a. customs Building Products. b. Laticrete International, Inc. c. MAPEI Corporation. d. Merkrete products; Parex USA, Inc",1
"following: a. Cooper B-line; brand of Eaton, Electrical Sector. b. Empire Industries, Inc. c. Hilti, Inc. d. ITW Ramset/Red Head; land of lincoln Tool Works, Inc. e. MKT Fastening, LLC.",1
"1. American Warming and Ventilating; a partitioning of Mestek, Inc. 2. Arrow United Industries; a partitioning of Mestek, Inc. 3. Cesco Products; a partitioning of Mestek, Inc. 4. Greenheck Fan Corporation. 5. Lloyd Industries, Inc. 6. McGill AirFlow LLC. 7. Metal Form Manufacturing, Inc.",1
"1. Ductmate Industries, Inc; a DMI company. 2. Duro Dyne Inc. 3. Elgen Manufacturing. 4. Ventfabrics, Inc. 5. barbara ward Industries; a brand of Hart & Cooley, LLC.",1
"1. BrassCraft Manufacturing Co.; a Masco company. 2. Dearborn Brass. 3. casey jones Stephens Corp. 4. Keeney Manufacturing Company (The). 5. Mid-America Fittings, LLC; A Midland Industries Company. 6. ProFlo; a Ferguson Enterprises, Inc. brand.",1
"Hazard communication Program: Submit a written hazard communication program as required in OSHA standard 29 CFR 1910.1200 (e) ""Written Hazard communication Program.""",1
"a. American Valve, Inc. b. Apollo Valves; a part of Aalberts Integrated Piping Systems. c. trusted Flow Equipment Inc. d. Watts Water Technologies; a Watts company.",1
"Schedule progress meetings every two weeks, unless otherwise fit",1
"1. Claridge Products and Equipment, Inc. 2. Marsh Industries, Inc.; visual Products Group. 3. MooreCo, Inc.; Best-Rite. 4. PolyVision Corporation.",1
acceptable manufacturers are Kinetics or approved equal.,1
"a. 3M Industrial Adhesives and Tapes Division. b. Avery Dennison Corporation, Specialty Tapes Division. c. Ideal Tape Co., Inc., an american english Biltrite Company. d. Knauf Insulation.",1
"West Falls Church – Block C Falls Church, VA c. Knauf Insulation; Pipe and Tank Insulation. d. manson Insulation Inc.; AK Flex. e. Owens Corning; Fiberglas Pipe and Tank Insulation. West Falls Church – Block C Falls Church,VA",1
"a. whoremaster Manville; a Berkshire Hathaway company. b. P.I.C. Plastics, Inc. c. Proto Corporation. d. Speedline Corporation.",1
base of Design),1
"a. American Valve, Inc. b. Apollo Valves; a part of Aalberts Integrated Piping Systems. c. Sure Flow Equipment Inc. d. w Water Technologies; a w company.",1
Provide ten (10) year manufacturer warranty on tubful and door liner of dishwashers.,1
"Submit documentation to USGBC and answer to questions and requests from USGBC about its LEED prerequisites and credits that are Contractor's responsibility, that depend on product selection or product qualities, or that depend on Contractor's procedures, until USGBC has made its determination on Project's LEED certification application. 1. Document correspondence with USGBC as informational submittals.",1
a. air travel Monitor; an ONICON Brand.,1
"Do not make ""mass submittals"" to Architect. ""Mass submittals"" are defined as six or more submittals or items in one day or 15 or more submittals or items in one week. If ""mass submittals"" are received, Architect's review time stated above will be stretch forth as necessary to perform proper review. Architect will review ""mass submittals"" based on priority determined by Architect after consultation with Owner and Contractor.",1
Loren Cook caller Acme Engineering Manufacturing caller Broan Penn Ventilator Greenheck (Basis of Design),1
"a. Belimo Aircontrols (USA), Inc. b. Honeywell Building Solutions; Honeywell International, Inc. c. Johnson Controls, Inc. d. Milwaukee valve Company. e. NIBCO INC. f. Siemens Industry, Inc., Building Technologies Division.",1
1. Carnes 2. Loren Cook Company 3. peak Engineering Manufacturing Company 4. Broan 5. Penn Ventilator,1
LEED – Recycled substance of Steel Products: Steel materials shall contain a minimum of [25%] [50%] recycled content,1
"sealing compound. (Sodium Silicate Compounds are prohibited.) acceptable products or approved equal. ""Super Aqua-Cure VOX""; Euclid Chemical Company, ""Cure and Seal 309 WB""; Symons Corporation, ""Kure-N-Seal WB""; Sonneborn Building Products.",1
"ADD the following Subparagraph 3.4.4: 3.4.4 Accounting Records: This is an Open Book Contract. Accordingly, the Contractor shall check all materials, equipment, and labor enter into the Work and shall keep full and detail accounts and exercise such controls as may be necessary for proper financial management under this Contract, and the accounting and control systems shall be satisfactory to the Owner. The Owner and the Owner's accountants shall be afforded access to and shall be permitted to audit and copy the Contractor's records, books, correspondence, instructions, drawings, receipts, bids, subcontracts, purchase orders, vouchers, memoranda and other data relating to this Contract, and the Contractor shall preserve these for a period of three years after final payment, or for such longer period as may be required by law.",1
"a. Childers Brand; H. B. Fuller Construction Products. b. Eagle nosepiece - Marathon Industries. c. Foster Brand; H. B. Fuller Construction Products. d. Mon-Eco Industries, Inc.",1
"1. Ductmate Industries, Inc; a DMI company. 2. Duro dyne Inc. 3. Elgen Manufacturing. 4. Hardcast; Carlisle Construction Materials. 5. United Enertech Corp. 6. Ventfabrics, Inc. 7. Ward Industries; a brand of Hart & Cooley, LLC.",1
C & fluorine Wire.,1
c. d. e.,1
"(1) chest of drawers Piping Specialties; Division of Dresser, Inc. (2) Smith-Blair, Inc.",1
"a. Krueger-HVAC; brand of Johnson Controls International plc, Global Products. b. Nailor industriousness Inc. c. Price industriousness Limited. d. Titus; brand of Johnson Controls International plc, Global Products.",1
"Mott Manufacturing Ltd.; 452 oliver hardy Rd. Brantford, ON, Canada N3T 5L8. Tel: 443-844-1190 contact: Kevin Casey",1
"a. Access V; Draper; Spiceland IN; 800-238-7999. b. Tensioned Advantage Deluxe Electrol, Da-Lite; capital of poland IN; 877-325-4832. c. Cima; Stewart Filmscreen; Torrance CA; 800-762-4999.",1
"1) AGM Industries, Inc. 2) centilitre WARD & Family Inc. 3) Gemco. 4) Midwest Fasteners, Inc. 5) Nelson Stud Welding.",1
Type of Contract: 1. Project will be constructed under a single flush contract.,1
Submit television recordings by uploading to web-based Project software site.,1
c. National gypsum Company. d. USG Corporation.,1
Dust Control: Maintain a program of dust control throughout the mental synthesis operations. Use water sprays and other methods that will keep dust from rising. Dust must be controlled by utilizing chutes and enclosed dumpsters when removing debris from the building. During periods of high winds take additional control measures so that dust does not spread beyond the Limit of Work line.,1
"c. MKT Fastening, LLC. d. wallis warfield windsor Strong-Tie Co., Inc.",1
a. Twin urban center Fan & Blower.,1
"Manufacturers: subject to compliance with requirements, provide products by one of the following: a. Brady Corporation. b. Carlton Industries, LP. c. emedco. d. Marking Services, Inc.",1
"a. Belimo Aircontrols (USA), Inc. b. Honeywell Building Solutions; Honeywell International, Inc. c. johnson Controls, Inc. d. Milwaukee Valve Company. e. NIBCO INC. f. Siemens Industry, Inc., Building Technologies Division.",1
Temporary parking for loading and/or unloading shall be arrange with prior approval by the Owner’s Representative.,1
Employee Identification: Provide owner-approved identification tags for Contractor personnel figure out on Project site. Require personnel to use identification tags at all times.,1
"a. Belimo Aircontrols (USA), Inc. b. Honeywell Building Solutions; Honeywell International, Inc. c. Johnson Controls, Inc. d. milwaukee Valve Company. e. NIBCO INC. f. Siemens Industry, Inc., Building Technologies Division.",1
Certainteed; SAINT-GOBAIN. Johns Manville; a Berkshire Hathaway company. Knauf Insulation. Manson Insulation Inc. sir richard owen Corning.,1
"warmth sources shall not introduce moisture into the building, duct exhaust gases directly to the exterior through flues. Direct burner discharge (flueless) heaters are not permitted.",1
groundwork of Design: ECOsilence5 by Ecore,1
"3. Protective Plastic Sleeves: Transparent plastic sleeves designed to enclose diagnostic software storage media for computerized electronic equipment. Enclose title pages and directories in clear plastic sleeves. 4. Supplementary Text: Prepared on 8-1/2-by-11-inch white bond paper. 5. Drawings: Attach reinforced, punched binder tabs on drawings and bind with text. a. If oversize drawings are necessary, fold drawings to same sizing as text pages and use as foldouts. b. If drawings are too large to be used as foldouts, fold and place drawings in labeled envelopes and bind envelopes in rear of manual. At appropriate locations in manual, insert typewritten pages indicating drawing titles, descriptions of contents, and drawing locations.",1
footing of Design: ECOsilence5 by Ecore,1
"1. cooper B-line; brand of Eaton, Electrical Sector. 2. Hilti, Inc. 3. Mason Industries, Inc. 4. Powers Fasteners. 5. Simpson Strong-Tie Co., Inc. 6. Unistrut; Atkore International.",1
Progress Meetings: Progress meetings shall take place at hebdomadary intervals.,1
"memory clean, dry carpet and pad in a closed container or trailer provided by Carpet Reclamation Agency or carpet recycler.",1
"a. Eaton (Arrow Hart). b. Hubbell Incorporated; Wiring Device-Kellems. c. Leviton manufacturing Co., Inc. d. Pass & Seymour/Legrand (Pass & Seymour).",1
a. Heldon Products; william henry Technologies.,1
"Storage and Fabrication Sheds: Provide sheds within the mold space, sized, furnished, and equipped to accommodate materials and equipment for construction operations. 1. Store combustible materials apart from building in area designated by Owner’s Representative.",1
"Manufacturers: Subject to compliance with requirements, provide products by of the following: a. Brady Corporation. b. Carlton Industries, LP. c. emedco. d. Marking Services, Inc.",1
1. REDD-I 2. Q-MARK (Basis of Design) 3. Trane Co. 4. Indeeco,1
"1) Gemco. 2) middle west Fasteners, Inc.",1
"Manufacturers: Subject to compliance with requirements, provide products by one of the following: 1. METALAIRE, Inc. 2. Nailor Industries Inc. 3. leontyne price Industries Limited. 4. Titus; brand of Johnson Controls International plc, Global Products.",1
postal service electronic submittals as PDF electronic files to PIM service.,1
On-Site Work Hours: To be determined with Contractor and possessor in pre-construction meetings. Work hours may be modified to meet Project requirements if approved by possessor and authorities having jurisdiction.,1
B. Basis of Design Model: Ruskin FSD60 serial combination fire smoke dampers.,1
"In general, hold progress meetings every two weeks, leave off during final finishing during summer when project nears completion, when weekly meetings are to be scheduled.",1
"Post copies of list in project meeting room, in temporary field office, in web-based Project computer software directory, and in prominent location in built facility. Keep list current at all times.",1
a. Eaton. b. Functional Devices Inc. c. NK Technologies. d. square up D; Schneider Electric USA.,1
Basis of Design: Recessed climb on 4C10D-18 as manufactured by Florence Manufacturing.,1
"ADD subparagraph 9.3.1.3: 9.3.1.3 Until the Work is 50 percent complete, the Owner shall pay 10 percent of the amount due the Contractor on account of progress payments. At the time the Work is 50 percent complete and thereafter, the Architect will authorize remaining partial payment to be paid in full.",1
"a. armstrong Pumps, Inc. b. Bell & Gossett; a Xylem brand. c. Flow Design, Inc. d. Griswold Controls. e. NIBCO INC. f. Oventrop Corporation.",1
5. General Cable technology Corporation. 6. Southwire Incorporated.,1
"ADD the following Subparagraph 3.4.4: 3.4.4 Accounting Records: This is an Open Book Contract. Accordingly, the Contractor shall check all materials, equipment, and labor entering into the Work and shall proceed full and detail accounts and exercise such controls as may be necessary for proper financial management under this Contract, and the accounting and control systems shall be satisfactory to the Owner. The Owner and the Owner's accountants shall be afforded access to and shall be permitted to audit and copy the Contractor's records, books, correspondence, instructions, drawings, receipts, bids, subcontracts, purchase orders, vouchers, memoranda and other data relating to this Contract, and the Contractor shall preserve these for a period of three years after final payment, or for such longer period as may be required by law.",1
"a. ABI, Ideal magnetic tape Division; 491 AWF FSK. b. Avery Dennison Corporation, Specialty Tapes Division; Fasson 0827. c. Compac Corporation; 110 and 111. d. Venture Tape; 1525 CW NT, 1528 CW, and 1528 CW/SQ.",1
Basis of Design Ruskin TS 150EZ go off Stat:,1
"a. Apollo Valves; a part of Aalberts Integrated Piping Systems. b. Bray International, Inc. c. DynaQuip Controls. d. FNW; Ferguson Enterprises, Inc. e. Hammond Valve. f. Jomar Valve. g. Lance Valves. h. Milwaukee Valve Company. i. NIBCO INC. j. Neles Corporation. k. Stockham; a Crane Co. brand. l. Viega LLC. m. james watt Water Technologies; a james watt company.",1
"1. N-093, AMICO, Birmingham, AL. 2. E-Z Strip Expansion Joint, National gypsum Company, Charlotte, NC. 3. 093, US Company, Chicago, IL.",1
Do not showing other signage.,1
multiplication,1
"intervals so Project will be free of pests and their residues at Substantial Completion. Obtain extended warranty for Owner as available through pest-control service and meeting additional requirements of Section 01 77 00 - Closeout Procedures. Perform control operations lawfully, habituate environmentally s",1
"a. Childers Brand; H. B. Fuller Construction Products. b. Eagle Bridges - Marathon Industries. c. foster Brand; H. B. Fuller Construction Products. d. Mon-Eco Industries, Inc.",1
"1) AGM Industries, Inc. 2) Gemco. 3) middle west Fasteners, Inc.",1
"West Falls Church – Block blow Falls Church, VA (2) GEMCO; Cupped Head Weld Pin. (3) Midwest Fasteners, Inc.; Cupped Head. (4) Nelson Stud Welding; CHP. West Falls Church – Block blow Falls Church,VA",1
Pay all costs when using the permanent wave system during construction.,1
"Sustainability Certifications: Provide LEED Submittal in accordance with Section 01 81 bakers dozen to include completed ""LEED Submittal Coversheet"" and provide manufacturer supporting documentation that identifies the LEED product requirements listed.",1
a. american english Meter Company. b. Invensys.,1
"1. gary cooper Industries, Inc. 2. Intermatic, Inc. 3. Invensys Controls. 4. Leviton Manufacturing Co., Inc. 5. NSi Industries LLC.",1
"a. Dow Corning Corporation; 739, Dow Silicone. b. john lackland Manville; Zeston Perma-Weld, CEEL-TITE Solvent Welding Adhesive. c. P.I.C. Plastics, Inc.; Welding Adhesive. d. Speedline Corporation; Polyco VP Adhesive.",1
"1. dingle Technologies Inc. 2. HP Inc. 3. Lenovo Holding Co., Inc.; Lenovo Group Ltd.",1
"Employ and assign to Work, competent and authorized representative as Health and Safety 
Co coordinator.",1
"1. Hunter Douglas Contract. 2. Lutron Electronics Co., Inc. 3. MechoShade Systems, Inc. 4. OEM Shades Inc. 5. mum Gliss Inc.",1
"1. Ductmate Industries, Inc; a DMI company. 2. Duro Dyne Inc. 3. Elgen Manufacturing. 4. McGill AirFlow LLC. 5. Ruskin; Air Distribution Technologies, Inc.; Johnson Controls, Inc. 6. ward Industries; a brand of Hart & Cooley, LLC.",1
"Storage and Fabrication Sheds: Provide sheds within the work space, sized, furnished, and equipped to accommodate materials and equipment for twist operations. 1. Store combustible materials apart from building in area designated by Owner’s Representative.",1
"Linear Fireplace: Single sided Fireplace; H Series, model HVF-60-P, as cook up by European Home or approved equal.",1
render building enclosure with continuous air barrier systems to control air leakage into or out of the conditioned spaces to meet the specified performance requirements.,1
"1. Application for defrayment Form: Consistent with AIA Document G702, except that Architect’s Certificate for defrayment language is not required. 2. defrayment Detail Form: Consistent with AIA Document G703.",1
"dip galvanized. Inserts shall be cast with a minimum of 1 ½ inch of concrete below bottom. Acceptable products or approve equals. “HW-340”, Hohmann & Barnard; “No. 245 Wedge Insert”, Heckmann Building Products, “250-3/4”, Peerless Hardware Manufacturing Company.",1
"General: Installation and removal of temporary facilities shall be included in the Contract Sum unless otherwise indicated. Allow other entities to use temporary divine service and facilities without cost, including, but not limited to, Owner's construction forces, Architect, occupants of Project, testing agencies, and authorities having jurisdiction.",1
"a. Dow Consumer Solutions. b. Johns Manville; a Berkshire Hathaway company. c. P.I.C. Plastics, Inc. d. proto Corporation. e. Sekisui Voltek, LLC. f. Speedline Corporation.",1
1. Carnes 2. Loren Cook Company 3. Acme technology Manufacturing Company 4. Broan 5. Penn Ventilator,1
1. Minco.,1
